symbol,name,exchange,region,currency,type
IR,Ingersoll Rand Inc.,NYQ,us_market,USD,EQUITY
PODD,Insulet Corporation,NMS,us_market,USD,EQUITY
INTC,Intel Corporation,NMS,us_market,USD,EQUITY
ICE,"Intercontinental Exchange, Inc.",NYQ,us_market,USD,EQUITY
IFF,International Flavors & Fragrances Inc.,NYQ,us_market,USD,EQUITY
IP,International Paper Company,NYQ,us_market,USD,EQUITY
IPG,"The Interpublic Group of Companies, Inc.",NYQ,us_market,USD,EQUITY
INTU,Intuit Inc.,NMS,us_market,USD,EQUITY
ISRG,"Intuitive Surgical, Inc.",NMS,us_market,USD,EQUITY
IVZ,Invesco Ltd.,NYQ,us_market,USD,EQUITY
INVH,Invitation Homes Inc.,NYQ,us_market,USD,EQUITY
IQV,IQVIA Holdings Inc.,NYQ,us_market,USD,EQUITY
IRM,Iron Mountain Incorporated,NYQ,us_market,USD,EQUITY
JBHT,"J.B. Hunt Transport Services, Inc.",NMS,us_market,USD,EQUITY
JBL,Jabil Inc.,NYQ,us_market,USD,EQUITY
JKHY,"Jack Henry & Associates, Inc.",NMS,us_market,USD,EQUITY
J,Jacobs Solutions Inc.,NYQ,us_market,USD,EQUITY
JNJ,Johnson & Johnson,NYQ,us_market,USD,EQUITY
JCI,Johnson Controls International plc,NYQ,us_market,USD,EQUITY
JPM,JPMorgan Chase & Co.,NYQ,us_market,USD,EQUITY
JNPR,"Juniper Networks, Inc.",NYQ,us_market,USD,EQUITY
K,Kellanova,NYQ,us_market,USD,EQUITY
KVUE,Kenvue Inc.,NYQ,us_market,USD,EQUITY
KDP,Keurig Dr Pepper Inc.,NMS,us_market,USD,EQUITY
KEY,KeyCorp,NYQ,us_market,USD,EQUITY
KEYS,"Keysight Technologies, Inc.",NYQ,us_market,USD,EQUITY
KMB,Kimberly-Clark Corporation,NYQ,us_market,USD,EQUITY
KIM,Kimco Realty Corporation,NYQ,us_market,USD,EQUITY
KMI,"Kinder Morgan, Inc.",NYQ,us_market,USD,EQUITY
KKR,KKR & Co. Inc.,NYQ,us_market,USD,EQUITY
KLAC,KLA Corporation,NMS,us_market,USD,EQUITY
KHC,The Kraft Heinz Company,NMS,us_market,USD,EQUITY
KR,The Kroger Co.,NYQ,us_market,USD,EQUITY
LHX,"L3Harris Technologies, Inc.",NYQ,us_market,USD,EQUITY
LH,Labcorp Holdings Inc.,NYQ,us_market,USD,EQUITY
LRCX,Lam Research Corporation,NMS,us_market,USD,EQUITY
LW,"Lamb Weston Holdings, Inc.",NYQ,us_market,USD,EQUITY
LVS,Las Vegas Sands Corp.,NYQ,us_market,USD,EQUITY
LDOS,"Leidos Holdings, Inc.",NYQ,us_market,USD,EQUITY
LEN,Lennar Corporation,NYQ,us_market,USD,EQUITY
LII,Lennox International Inc.,NYQ,us_market,USD,EQUITY
LLY,Eli Lilly and Company,NYQ,us_market,USD,EQUITY
LIN,Linde plc,NMS,us_market,USD,EQUITY
LYV,"Live Nation Entertainment, Inc.",NYQ,us_market,USD,EQUITY
LKQ,LKQ Corporation,NMS,us_market,USD,EQUITY
LMT,Lockheed Martin Corporation,NYQ,us_market,USD,EQUITY
L,Loews Corporation,NYQ,us_market,USD,EQUITY
LOW,"Lowe's Companies, Inc.",NYQ,us_market,USD,EQUITY
LULU,lululemon athletica inc.,NMS,us_market,USD,EQUITY
LYB,LyondellBasell Industries N.V.,NYQ,us_market,USD,EQUITY
MTB,M&T Bank Corporation,NYQ,us_market,USD,EQUITY
MPC,Marathon Petroleum Corporation,NYQ,us_market,USD,EQUITY
MKTX,MarketAxess Holdings Inc.,NMS,us_market,USD,EQUITY
MAR,"Marriott International, Inc.",NMS,us_market,USD,EQUITY
MMC,"Marsh & McLennan Companies, Inc.",NYQ,us_market,USD,EQUITY
MLM,"Martin Marietta Materials, Inc.",NYQ,us_market,USD,EQUITY
MAS,Masco Corporation,NYQ,us_market,USD,EQUITY
MA,Mastercard Incorporated,NYQ,us_market,USD,EQUITY
MTCH,"Match Group, Inc.",NMS,us_market,USD,EQUITY
MKC,"McCormick & Company, Incorporated",NYQ,us_market,USD,EQUITY
MCD,McDonald's Corporation,NYQ,us_market,USD,EQUITY
MCK,McKesson Corporation,NYQ,us_market,USD,EQUITY
MDT,Medtronic plc,NYQ,us_market,USD,EQUITY
MRK,"Merck & Co., Inc.",NYQ,us_market,USD,EQUITY
META,"Meta Platforms, Inc.",NMS,us_market,USD,EQUITY
MET,"MetLife, Inc.",NYQ,us_market,USD,EQUITY
MTD,Mettler-Toledo International Inc.,NYQ,us_market,USD,EQUITY
MGM,MGM Resorts International,NYQ,us_market,USD,EQUITY
MCHP,Microchip Technology Incorporated,NMS,us_market,USD,EQUITY
MU,"Micron Technology, Inc.",NMS,us_market,USD,EQUITY
MSFT,Microsoft Corporation,NMS,us_market,USD,EQUITY
MAA,"Mid-America Apartment Communities, Inc.",NYQ,us_market,USD,EQUITY
MRNA,"Moderna, Inc.",NMS,us_market,USD,EQUITY
MHK,"Mohawk Industries, Inc.",NYQ,us_market,USD,EQUITY
MOH,"Molina Healthcare, Inc.",NYQ,us_market,USD,EQUITY
TAP,Molson Coors Beverage Company,NYQ,us_market,USD,EQUITY
MDLZ,"Mondelez International, Inc.",NMS,us_market,USD,EQUITY
